date,geography,geography code,Age: Total,Age: Aged 4 years and under,Age: Aged 5 to 9 years,Age: Aged 10 to 14 years,Age: Aged 15 to 19 years,Age: Aged 20 to 24 years,Age: Aged 25 to 29 years,Age: Aged 30 to 34 years,Age: Aged 35 to 39 years,Age: Aged 40 to 44 years,Age: Aged 45 to 49 years,Age: Aged 50 to 54 years,Age: Aged 55 to 59 years,Age: Aged 60 to 64 years,Age: Aged 65 to 69 years,Age: Aged 70 to 74 years,Age: Aged 75 to 79 years,Age: Aged 80 to 84 years,Age: Aged 85 years and over
2021,Buckinghamshire,E06000060,553078,30888,35155,36807,30807,25646,30240,34166,36379,38209,38481,40665,39261,32662,26839,27061,20389,14691,14732
2021,North Northamptonshire,E06000061,359525,20206,22459,23236,19761,17787,22365,24865,24375,23328,23942,26461,24910,20473,18016,18393,13071,8256,7621
2021,West Northamptonshire,E06000062,425725,23965,26379,26866,23844,24155,27343,30790,29730,28518,28796,30242,28893,23528,19761,20499,14344,9286,8786
2021,Bolton,E08000001,295961,18458,20434,20817,18319,16638,17768,20042,19940,18508,18771,20123,19211,16210,13871,14190,10084,6783,5794
2021,Bury,E08000002,193850,11159,12490,12851,11232,9545,11534,13477,13360,12075,12486,13444,13460,11289,9429,9970,7011,4814,4224
2021,Manchester,E08000003,551937,34378,36561,36344,42418,61887,52583,47999,42050,35778,31067,30370,26693,21642,16482,13817,9206,6689,5973
2021,Oldham,E08000004,242088,16005,17445,18068,16254,14133,14975,16720,16194,15093,14846,16038,15057,12646,10819,10640,7589,5351,4215
2021,Rochdale,E08000005,223773,14639,15475,15728,13457,12201,14077,15916,15317,14132,13978,15110,14382,12494,10856,10333,6982,4591,4105
2021,Salford,E08000006,269921,17257,16713,16059,15494,22657,26435,24441,20471,16344,14980,15436,15047,12666,9681,9972,6887,5003,4378
2021,Stockport,E08000007,294776,16575,18057,17927,14763,13367,16943,20058,20399,19504,19188,20562,20457,17701,15298,15653,11483,8579,8262
2021,Tameside,E08000008,231069,13666,14701,14873,12451,11907,14952,16564,15739,14375,14666,16604,16298,13758,11251,11556,7972,5333,4403
2021,Trafford,E08000009,235050,13466,16009,16431,13210,10531,12567,14902,17337,17379,16493,16465,15918,13052,10824,10664,7917,6048,5837
2021,Wigan,E08000010,329330,17782,19247,19786,17446,17057,20834,22855,21674,19645,21435,24984,23248,19734,16908,18340,13482,8463,6410
2021,Knowsley,E08000011,154519,9735,9489,9162,8390,8578,10619,11687,10318,8538,8787,10727,11738,10509,8213,6899,4415,3509,3206
2021,Liverpool,E08000012,486089,26372,26726,25244,33846,49337,38082,37314,33138,27773,26579,29155,30659,27542,22421,19994,13260,9991,8656
2021,St. Helens,E08000013,183248,9659,10346,10622,9391,9369,11521,12258,11713,10702,11816,13433,13290,11486,9968,10529,7552,5208,4385
2021,Sefton,E08000014,279234,13508,15071,15295,14031,13500,15234,17140,16833,15554,16701,20110,21679,19815,16889,16496,12436,9591,9351
2021,Wirral,E08000015,320196,16316,18798,19251,16997,15076,17866,19756,19223,18369,19757,22943,23934,21519,18918,19103,13376,9714,9280
2021,Barnsley,E08000016,244575,13463,14366,14350,12256,12450,16132,16817,15687,13825,15345,18720,17962,15603,13400,13063,9540,6225,5371
2021,Doncaster,E08000017,308104,16942,18119,18622,16136,16214,20190,21851,20113,17979,18704,21803,22003,19576,16540,16319,11512,8028,7453
2021,Rotherham,E08000018,265806,14645,15980,16540,14472,14098,16400,18027,16999,15280,16660,19466,18603,16408,14031,14211,10626,7236,6124
2021,Sheffield,E08000019,556525,30179,32018,32049,37455,50872,40536,38867,35034,32143,32238,36319,34488,29508,24795,24618,18881,13749,12776
2021,Newcastle upon Tyne,E08000021,300125,15651,16704,16404,23355,36645,23390,21246,19594,16944,16060,16761,17360,15496,12675,11788,7863,5973,6216
2021,North Tyneside,E08000022,208968,10991,11939,12153,10369,9510,12212,13855,14318,13643,13627,14637,15220,13596,12153,11820,7837,5645,5443
2021,South Tyneside,E08000023,147777,7823,8468,8632,7480,7287,8670,9857,9376,8462,8751,10428,11229,10476,8775,8374,5554,4300,3835
2021,Sunderland,E08000024,274172,13849,15239,16033,14645,15142,17023,18044,17055,15654,16829,19447,20034,18912,16103,15496,10223,7706,6738
2021,Birmingham,E08000025,1144918,75023,81270,83057,86440,93243,82593,84846,80630,73996,68054,69954,62684,52641,42584,37345,28072,20959,21527
2021,Coventry,E08000026,345324,20442,21965,22106,25408,31584,24485,25545,24075,21768,20260,21445,19610,16318,13385,12665,9973,7217,7073
2021,Dudley,E08000027,323488,18176,19775,19307,17772,17011,20446,21361,20213,18881,20147,23470,22233,18638,16818,17002,13813,9656,8769
2021,Sandwell,E08000028,341832,22176,24566,24356,22002,20370,22516,24916,24540,23228,22299,23076,20848,17234,13857,12657,9676,7151,6364
2021,Solihull,E08000029,216238,11693,13771,13604,11807,10755,11978,13028,13143,13052,13766,15629,15435,12978,10947,12069,9410,6473,6700
2021,Walsall,E08000030,284124,18193,19549,19565,17295,16160,17967,19646,19009,17370,17300,19166,18006,15436,12895,12511,9889,7450,6717
2021,Wolverhampton,E08000031,263726,16325,17727,17997,15355,15790,17082,18875,18354,17381,16966,18110,16435,14047,11845,10762,8134,6260,6281
2021,Bradford,E08000032,546412,36096,39556,41350,37779,33135,34549,38010,38239,35649,33814,34274,32184,28775,24124,22373,14403,11191,10911
2021,Calderdale,E08000033,206631,11317,12803,13313,11602,10125,11990,12930,13033,12652,13787,15757,15082,12930,10871,11088,7658,5030,4663
2021,Kirklees,E08000034,433214,25144,27644,28614,26867,25844,26445,28424,28156,27197,28057,30860,28623,24526,21033,21428,14857,10289,9206
2021,Leeds,E08000035,811952,46800,49614,48157,51822,70459,60621,60646,56601,51649,49123,50807,48187,40700,33690,34308,23961,17599,17208
2021,Wakefield,E08000036,353370,20074,20994,20831,17865,18002,23666,25308,23648,20726,22770,26331,24998,21550,18401,18526,13240,8870,7570
2021,Gateshead,E08000037,196151,10053,11070,11233,10074,10411,12731,13142,12973,11897,12060,13936,14243,12555,10616,10743,7357,5846,5211
2021,City of London,E09000001,8580,213,159,174,216,965,1213,1002,726,547,544,640,517,458,393,318,210,164,121
2021,Barking and Dagenham,E09000002,218869,17251,18331,18229,15125,13240,15216,18055,18638,17075,14930,13835,11326,8586,5945,4779,3237,2582,2489
2021,Barnet,E09000003,389343,24106,25249,25807,21464,22395,28041,30175,30789,30090,27467,25645,22874,19137,15447,14360,10463,7341,8493
2021,Bexley,E09000004,246472,15031,16195,16439,14113,13507,14878,17109,17713,17132,16014,17265,16608,13576,10655,10539,7755,6010,5933
2021,Brent,E09000005,339814,19970,19833,20871,20622,24589,29313,29847,27687,25358,23119,22782,19880,16388,12298,9610,6988,5478,5181
2021,Bromley,E09000006,329989,19491,20627,20924,17215,14676,18324,22426,24791,25042,23699,23929,22347,18257,14483,15370,11232,8139,9017
2021,Camden,E09000007,210135,10032,9873,10388,13743,20165,22002,20541,16548,14500,13360,13267,11746,9141,7123,6543,4830,3270,3063
2021,Croydon,E09000008,390716,25171,24992,25426,22344,21620,27530,31611,31152,28619,25961,27113,25773,20331,15252,13770,9738,7206,7107
2021,Ealing,E09000009,367115,21515,22245,23648,21801,22627,28899,30776,30770,29664,26382,24748,21933,17645,13586,11394,7967,5998,5517
2021,Enfield,E09000010,329984,21259,22750,24107,21338,19116,21177,23126,23979,24572,22730,22648,21110,17059,12789,11159,8153,6490,6422
2021,Greenwich,E09000011,289071,19027,18782,18206,15895,18363,24716,27868,25778,22961,19568,19026,16125,12530,9325,7975,5628,3775,3523
2021,Hackney,E09000012,259146,16135,15159,15419,14124,18593,31532,31947,23610,18636,15466,14570,13346,10104,7016,5458,3417,2384,2230
2021,Hammersmith and Fulham,E09000013,183157,9075,8824,9007,8205,16960,23401,19387,14800,12848,12174,11896,10240,7354,5731,4986,3539,2540,2190
2021,Haringey,E09000014,264240,14932,14743,15574,14571,16363,24001,25900,23605,21153,19172,18521,16097,11896,8821,7148,4886,3640,3217
2021,Harrow,E09000015,261203,15699,16133,16481,15042,15132,18467,20458,21133,19927,17003,16344,15355,13850,11515,9895,7361,5729,5679
2021,Havering,E09000016,262052,16491,16862,15965,14367,14104,16939,19291,19189,17440,16213,17371,16958,14751,11868,12125,8726,6418,6974
2021,Hillingdon,E09000017,305909,19881,20469,19995,18556,19812,20770,23680,24925,23462,20284,19897,18124,14881,11661,10449,7388,5766,5909
2021,Hounslow,E09000018,288182,18221,19107,18658,16174,16756,20808,24910,25902,24158,20904,18942,16370,13322,10566,8904,6131,4358,3991
2021,Islington,E09000019,216587,11211,9975,9957,10635,18476,28750,27313,19005,14801,12604,12896,11828,8815,6432,5395,3594,2554,2346
2021,Kensington and Chelsea,E09000020,143376,6171,6364,6484,6707,12202,13065,12077,10568,9588,10199,11082,10440,7828,5854,5470,4022,2794,2461
2021,Kingston upon Thames,E09000021,168061,9559,10512,10586,9450,11155,10986,12285,12980,13492,12690,11634,10188,8221,6726,6601,4550,3178,3268
2021,Lambeth,E09000022,317651,15265,14940,15485,14934,26755,45337,36561,26433,22440,20415,20468,18187,13171,8978,6858,4638,3622,3164
2021,Lewisham,E09000023,300551,19127,18172,17580,15670,18810,27583,30848,27506,23748,20780,19991,18588,13504,9005,7087,5045,3919,3588
2021,Merton,E09000024,215187,13532,13300,13169,10678,11167,17211,19143,18954,18119,15525,14482,12585,10251,7879,7104,4760,3741,3587
2021,Newham,E09000025,351036,23854,23326,23295,22154,28285,36033,36701,32529,27396,22767,20460,16301,12769,9104,6294,4000,3183,2585
2021,Redbridge,E09000026,310259,21194,21733,21425,19315,18967,21735,24904,26228,24784,21114,19420,17007,14501,11275,9634,6645,5159,5219
2021,Richmond upon Thames,E09000027,195279,11103,12812,13228,10150,8230,9954,12097,14342,16358,16248,15406,13655,10248,8354,8732,6158,4064,4140
2021,Southwark,E09000028,307635,16362,15893,16223,16198,25476,38265,34959,26535,21854,19915,19558,17569,13146,8399,6670,4350,3274,2989
2021,Sutton,E09000029,209639,12796,14250,14369,11341,9943,12473,14727,16649,17126,15263,14718,13594,10650,8613,8356,5902,4303,4566
2021,Tower Hamlets,E09000030,310306,19090,17656,17395,18367,31989,44477,40704,29776,22639,17542,13920,10835,8444,6045,4335,2797,2227,2068
2021,Waltham Forest,E09000031,278424,18985,17441,16613,15142,15573,22541,28537,27085,23103,19344,18131,15456,12077,8796,7202,5089,3874,3435
2021,Wandsworth,E09000032,327507,18704,16908,15678,13081,23844,47659,38464,29292,24588,20817,18802,16224,12112,9099,8282,5724,4208,4021
2021,Westminster,E09000033,204235,8502,7877,8637,10649,19329,23253,20913,16091,14061,13755,14381,12427,9580,7309,6336,4742,3277,3116
2021,Cambridgeshire,E10000003,678852,34470,38723,38802,38540,43885,46125,47834,45704,44166,44554,46751,44907,37815,33090,34186,25310,17421,16569
2021,Cumbria,E10000006,499845,22404,25297,26781,24765,23604,27764,28408,27952,26327,30419,37855,40016,36729,31990,33667,23749,16821,15297
2021,Derbyshire,E10000007,794636,38314,43124,44722,39074,38026,46376,48324,46282,45260,51995,62170,61861,53421,46732,48633,36230,23190,20902
2021,Devon,E10000008,811638,35343,41294,43157,44877,44200,40721,43847,43421,42844,47768,57240,60904,56624,52341,56708,42705,28451,29193
2021,East Sussex,E10000011,545847,24993,28700,30620,27576,24263,26589,29473,29025,29587,33557,39914,41568,37504,34600,38524,28798,19814,20742
2021,Essex,E10000012,1503521,83141,88984,90180,79746,78084,88525,97283,95384,93136,96427,107847,104661,90144,78005,85252,62246,42522,41954
2021,Gloucestershire,E10000013,645073,32265,36188,37446,34569,33487,36743,40230,39502,38237,40843,46685,47702,41362,36160,37262,28041,19344,19007
2021,Hampshire,E10000014,1400899,71253,80951,82112,73421,67430,77826,87455,86530,85640,90864,101712,102915,88656,75663,81401,61309,42879,42882
2021,Hertfordshire,E10000015,1198793,70159,76454,78453,66434,61610,71835,81320,84673,85813,84182,85312,81742,66538,53247,53171,38926,28524,30400
2021,Kent,E10000016,1576066,87286,95259,98198,88322,83403,90664,100627,99527,97581,101256,111701,109721,93194,81529,87743,64135,43895,42025
2021,Lancashire,E10000017,1235355,63725,70949,73455,73535,72907,70985,77001,75018,70589,75872,87835,89001,78165,67649,70901,51001,34927,31840
2021,Leicestershire,E10000018,712367,36021,40012,40929,42264,41191,40728,44468,44061,42407,45638,51955,50512,44102,38742,40701,29914,19933,18789
2021,Lincolnshire,E10000019,768364,35818,41243,42834,41447,43379,42941,45378,43238,41702,46712,54999,57319,51201,46246,49688,37161,24688,22370
2021,Norfolk,E10000020,916119,42518,48368,49048,46880,50804,52594,55230,52840,50467,55284,63194,65662,59468,55503,60897,45594,31108,30660
2021,North Yorkshire,E10000023,615492,27741,31233,33664,31937,26260,31341,33725,33227,33277,37872,46571,49664,45151,39966,42221,30429,21191,20022
2021,Nottinghamshire,E10000024,824820,41890,47172,47805,41735,41755,49286,53110,51469,49148,52280,60772,60978,52232,45652,47907,35653,23865,22111
2021,Oxfordshire,E10000025,725292,37991,41006,43046,44954,47931,49361,51435,49015,46423,46342,49698,48322,39973,33552,34043,25760,18116,18324
2021,Somerset,E10000027,571549,27048,30531,32639,29812,25972,30523,33068,31528,30553,34663,41529,43234,38553,36136,38592,28555,19189,19424
2021,Staffordshire,E10000028,876104,43709,47706,48908,45502,45471,51024,54751,52331,49775,55560,66053,64571,56608,49934,52783,40705,27167,23546
2021,Suffolk,E10000029,760692,37261,41805,42959,39084,37864,44160,46802,44250,43355,46820,53723,54538,48871,44659,48921,36330,24828,24462
2021,Surrey,E10000030,1203108,65635,74063,76525,69799,63508,62861,72676,79137,84652,86590,87325,84258,68889,56695,58434,44459,32003,35599
2021,Warwickshire,E10000031,596773,31010,34016,34627,31973,31919,35950,40141,38158,36525,38637,43047,42306,35849,31024,32569,25705,17207,16110
2021,West Sussex,E10000032,882676,44525,49867,51590,44997,40922,47798,54085,54625,54850,57206,62834,62843,55144,48949,53351,40376,28465,30249
2021,Worcestershire,E10000034,603676,29604,33340,34579,31943,29897,33486,36540,35448,35290,38268,44453,44342,38452,35628,37512,28185,18950,17759
2021,Isle of Anglesey,W06000001,68878,3211,3861,3971,3404,3055,3309,3696,3452,3485,4028,4948,5209,5044,4757,5037,3716,2521,2174
2021,Gwynedd,W06000002,117393,5348,6249,6521,7021,8545,6518,6608,5914,5903,6839,8076,8533,8046,7095,7301,5426,3646,3804
2021,Conwy,W06000003,114739,5030,5898,6263,5503,4993,5563,6160,5864,5686,6627,8243,9015,8523,7875,8494,6207,4305,4490
